connectivity	normalization	run	accuracy_pct	zero_classes	avg_firing	assigned
sparse	l1	1	26.30	0	0.20	[16, 13, 13, 3, 14, 25, 9, 31, 43, 33]
sparse	l1	2	32.70	0	0.19	[26, 9, 15, 3, 14, 26, 10, 20, 34, 43]
sparse	l1	3	32.90	0	0.19	[16, 21, 24, 7, 12, 16, 6, 29, 35, 34]
sparse	l1	4	32.90	0	0.19	[22, 12, 17, 4, 16, 26, 12, 28, 31, 32]
sparse	l1	5	33.40	0	0.19	[18, 17, 21, 8, 9, 21, 13, 24, 34, 35]
sparse	l2	1	42.80	0	0.28	[22, 13, 17, 6, 5, 9, 5, 33, 51, 39]
sparse	l2	2	38.00	0	0.27	[15, 14, 28, 6, 8, 22, 7, 28, 34, 38]
sparse	l2	3	40.10	0	0.31	[10, 19, 20, 13, 4, 15, 4, 30, 51, 34]
sparse	l2	4	38.00	0	0.29	[25, 13, 19, 7, 8, 16, 1, 29, 46, 36]
sparse	l2	5	40.50	0	0.27	[25, 13, 17, 9, 12, 11, 3, 31, 47, 32]
dense	l1	1	11.70	0	0.18	[16, 16, 12, 13, 15, 26, 14, 20, 39, 29]
dense	l1	2	12.50	0	0.18	[17, 13, 15, 10, 12, 18, 18, 25, 34, 38]
dense	l1	3	13.80	0	0.18	[18, 15, 19, 9, 17, 12, 13, 23, 41, 33]
dense	l1	4	11.20	0	0.18	[10, 13, 21, 11, 14, 27, 20, 14, 39, 31]
dense	l1	5	12.80	0	0.18	[13, 15, 24, 13, 17, 16, 14, 21, 38, 29]
dense	l2	1	22.00	0	0.32	[13, 6, 7, 5, 19, 11, 5, 5, 106, 23]
dense	l2	2	12.80	1	0.33	[10, 11, 3, 4, 10, 13, 0, 15, 101, 33]
dense	l2	3	16.90	0	0.32	[12, 9, 4, 6, 14, 14, 5, 17, 98, 21]
dense	l2	4	22.80	0	0.33	[16, 9, 8, 2, 10, 14, 2, 20, 94, 25]
dense	l2	5	17.80	0	0.33	[7, 11, 13, 3, 15, 19, 3, 19, 90, 20]
