connectivity	normalization	run	exit_code	accuracy_pct	zero_classes	avg_firing	assigned
dense	l1	1	0	11.70	0	0.18	[16, 16, 12, 13, 15, 26, 14, 20, 39, 29]
dense	l1	2	0	12.50	0	0.18	[17, 13, 15, 10, 12, 18, 18, 25, 34, 38]
dense	l1	3	0	13.80	0	0.18	[18, 15, 19, 9, 17, 12, 13, 23, 41, 33]
dense	l1	4	0	NA	NA	NA	NA
dense	l1	5	0	12.30	0	0.18	[13, 10, 25, 12, 17, 15, 14, 21, 42, 31]
dense	l2	1	0	22.00	0	0.32	[13, 6, 7, 5, 19, 11, 5, 5, 106, 23]
dense	l2	2	0	12.80	1	0.33	[10, 11, 3, 4, 10, 13, 0, 15, 101, 33]
dense	l2	3	0	16.90	0	0.32	[12, 9, 4, 6, 14, 14, 5, 17, 98, 21]
dense	l2	4	0	22.80	0	0.33	[16, 9, 8, 2, 10, 14, 2, 20, 94, 25]
dense	l2	5	0	17.80	0	0.33	[7, 11, 13, 3, 15, 19, 3, 19, 90, 20]
