connectivity	normalization	run	accuracy_pct	zero_classes	avg_firing	assigned
sparse	l1	1	26.30	0	0.20	[16, 13, 13, 3, 14, 25, 9, 31, 43, 33]
sparse	l1	2	32.70	0	0.19	[26, 9, 15, 3, 14, 26, 10, 20, 34, 43]
sparse	l1	3	32.90	0	0.19	[16, 21, 24, 7, 12, 16, 6, 29, 35, 34]
sparse	l1	4	32.90	0	0.19	[22, 12, 17, 4, 16, 26, 12, 28, 31, 32]
sparse	l1	5	33.40	0	0.19	[18, 17, 21, 8, 9, 21, 13, 24, 34, 35]
sparse	l2	1	42.80	0	0.28	[22, 13, 17, 6, 5, 9, 5, 33, 51, 39]
sparse	l2	2	38.00	0	0.27	[15, 14, 28, 6, 8, 22, 7, 28, 34, 38]
sparse	l2	3	40.10	0	0.31	[10, 19, 20, 13, 4, 15, 4, 30, 51, 34]
sparse	l2	4	38.00	0	0.29	[25, 13, 19, 7, 8, 16, 1, 29, 46, 36]
sparse	l2	5	40.50	0	0.27	[25, 13, 17, 9, 12, 11, 3, 31, 47, 32]
dense	l1	1	12.50	0	0.18	[16, 14, 20, 12, 13, 22, 11, 17, 45, 30]
dense	l1	2	12.60	0	0.18	[19, 9, 20, 7, 17, 15, 17, 24, 38, 34]
dense	l1	3	10.90	0	0.18	[15, 9, 16, 11, 12, 22, 14, 18, 41, 42]
dense	l1	4	13.70	0	0.18	[14, 11, 15, 13, 16, 23, 17, 11, 47, 33]
dense	l1	5	12.40	0	0.18	[17, 11, 18, 13, 13, 17, 20, 23, 41, 27]
dense	l2	1	16.50	0	0.32	[20, 15, 9, 3, 14, 10, 5, 6, 98, 20]
dense	l2	2	22.70	0	0.32	[8, 11, 11, 8, 10, 13, 4, 14, 100, 21]
dense	l2	3	18.20	0	0.32	[6, 13, 9, 5, 19, 14, 6, 8, 102, 18]
dense	l2	4	19.90	0	0.32	[14, 16, 6, 5, 19, 9, 5, 17, 89, 20]
dense	l2	5	13.30	0	0.33	[15, 11, 10, 6, 11, 21, 4, 17, 75, 30]
