connectivity	normalization	run	accuracy_pct	zero_classes	avg_firing	assigned
sparse	l1	1	35.20	0	0.20	[15, 23, 17, 14, 10, 29, 16, 19, 32, 25]
sparse	l1	2	35.70	0	0.20	[21, 13, 15, 27, 15, 15, 15, 19, 33, 27]
sparse	l1	3	31.30	0	0.20	[16, 22, 24, 12, 9, 12, 14, 21, 38, 32]
sparse	l1	4	30.20	0	0.20	[14, 22, 13, 9, 13, 18, 16, 20, 38, 37]
sparse	l1	5	34.00	0	0.20	[17, 15, 17, 13, 15, 19, 11, 27, 33, 33]
sparse	l2	1	33.30	0	0.34	[24, 17, 24, 2, 7, 11, 3, 30, 45, 37]
sparse	l2	2	35.70	0	0.33	[31, 6, 27, 5, 3, 12, 8, 33, 35, 40]
sparse	l2	3	35.90	0	0.32	[18, 14, 15, 1, 11, 13, 5, 34, 41, 48]
sparse	l2	4	38.80	0	0.31	[21, 10, 22, 3, 3, 21, 5, 36, 37, 42]
sparse	l2	5	36.70	0	0.32	[21, 13, 14, 2, 8, 15, 4, 32, 52, 39]
dense	l1	1	38.70	0	0.33	[26, 16, 17, 11, 28, 5, 7, 15, 37, 38]
dense	l1	2	39.00	0	0.33	[14, 20, 19, 10, 24, 14, 14, 20, 40, 25]
dense	l1	3	38.20	0	0.33	[9, 17, 21, 11, 24, 9, 9, 18, 44, 38]
dense	l1	4	34.70	0	0.33	[27, 15, 19, 11, 22, 7, 5, 12, 43, 39]
dense	l1	5	37.90	0	0.33	[21, 16, 22, 10, 25, 4, 7, 20, 44, 31]
dense	l2	1	13.50	0	0.48	[19, 20, 6, 10, 11, 39, 6, 31, 37, 21]
dense	l2	2	16.60	0	0.47	[31, 24, 8, 9, 15, 16, 12, 21, 38, 26]
dense	l2	3	19.40	0	0.49	[21, 11, 9, 12, 12, 41, 13, 36, 31, 14]
dense	l2	4	15.30	0	0.47	[43, 15, 8, 9, 7, 24, 10, 26, 44, 14]
dense	l2	5	25.20	0	0.47	[22, 19, 8, 14, 10, 34, 11, 28, 43, 11]
