connectivity	normalization	run	exit_code	accuracy_pct	zero_classes	avg_firing	assigned
sparse	l1	1	0	35.30	0	0.20	[21, 13, 26, 13, 15, 14, 15, 26, 27, 30]
sparse	l1	2	0	34.90	0	0.20	[26, 15, 13, 17, 18, 14, 12, 22, 35, 28]
sparse	l1	3	0	29.20	0	0.19	[21, 17, 17, 23, 14, 12, 17, 27, 28, 24]
sparse	l1	4	0	34.20	0	0.19	[15, 14, 14, 17, 18, 20, 17, 22, 29, 34]
sparse	l1	5	0	35.10	0	0.20	[16, 14, 16, 14, 16, 19, 13, 29, 33, 30]
sparse	l2	1	0	36.30	0	0.29	[17, 7, 13, 3, 13, 18, 8, 34, 43, 44]
sparse	l2	2	0	35.80	0	0.31	[20, 8, 26, 4, 3, 13, 11, 35, 46, 34]
sparse	l2	3	0	38.00	0	0.34	[27, 13, 24, 2, 1, 9, 5, 33, 43, 43]
sparse	l2	4	0	36.80	0	0.29	[18, 10, 17, 4, 6, 17, 7, 32, 49, 40]
sparse	l2	5	0	34.40	0	0.36	[15, 13, 19, 4, 3, 21, 6, 35, 41, 43]
dense	l1	1	0	34.20	0	0.33	[18, 13, 11, 17, 19, 14, 17, 19, 34, 38]
dense	l1	2	0	35.00	0	0.33	[21, 17, 22, 10, 23, 10, 8, 16, 41, 32]
dense	l1	3	0	27.10	0	0.33	[10, 8, 22, 12, 22, 13, 4, 17, 44, 48]
dense	l1	4	0	36.80	0	0.33	[24, 11, 22, 10, 21, 8, 9, 13, 47, 35]
dense	l1	5	0	37.40	0	0.34	[21, 14, 18, 18, 22, 8, 7, 19, 39, 34]
dense	l2	1	0	20.70	0	0.47	[18, 12, 7, 5, 11, 24, 18, 33, 56, 16]
dense	l2	2	0	15.40	0	0.47	[30, 16, 8, 9, 7, 25, 12, 24, 49, 20]
dense	l2	3	0	15.10	0	0.48	[20, 26, 3, 11, 9, 15, 21, 26, 63, 6]
dense	l2	4	0	11.00	0	0.47	[23, 20, 5, 4, 9, 34, 10, 35, 37, 23]
dense	l2	5	0	16.40	0	0.47	[25, 16, 18, 10, 10, 21, 16, 23, 42, 19]
