connectivity	normalization	run	exit_code	accuracy_pct	zero_classes	avg_firing	assigned
sparse	l1	1	0	29.60	0	0.20	[14, 29, 24, 10, 10, 16, 15, 26, 28, 28]
sparse	l1	2	0	32.20	0	0.20	[15, 21, 23, 12, 12, 18, 14, 20, 36, 29]
sparse	l1	3	0	35.40	0	0.20	[18, 17, 17, 18, 18, 22, 9, 19, 31, 31]
sparse	l1	4	0	32.50	0	0.20	[16, 25, 16, 20, 11, 15, 10, 27, 35, 25]
sparse	l1	5	0	29.20	0	0.20	[22, 16, 15, 14, 15, 23, 14, 20, 29, 32]
sparse	l2	1	0	34.00	0	0.34	[21, 8, 20, 7, 7, 8, 6, 33, 51, 39]
sparse	l2	2	0	35.00	0	0.31	[20, 14, 25, 5, 3, 15, 5, 30, 47, 36]
sparse	l2	3	0	39.60	0	0.32	[20, 15, 18, 4, 5, 20, 1, 29, 50, 38]
sparse	l2	4	0	39.50	0	0.32	[20, 8, 18, 5, 5, 17, 4, 36, 43, 44]
sparse	l2	5	0	39.20	0	0.33	[27, 15, 20, 1, 5, 13, 5, 35, 41, 38]
dense	l1	1	0	33.00	0	0.33	[21, 13, 13, 11, 30, 7, 9, 14, 43, 39]
dense	l1	2	0	24.70	0	0.33	[25, 13, 15, 14, 19, 16, 16, 15, 35, 32]
dense	l1	3	0	33.20	0	0.33	[19, 11, 22, 14, 21, 20, 5, 11, 39, 38]
dense	l1	4	0	34.50	0	0.33	[24, 18, 19, 8, 24, 10, 10, 18, 37, 32]
dense	l1	5	0	31.70	0	0.33	[27, 14, 22, 6, 21, 11, 7, 23, 39, 30]
dense	l2	1	0	15.40	0	0.47	[30, 14, 16, 13, 10, 33, 2, 28, 39, 15]
dense	l2	2	0	16.80	0	0.47	[20, 22, 10, 6, 8, 26, 30, 22, 44, 12]
dense	l2	3	0	15.40	0	0.47	[43, 18, 9, 5, 13, 22, 9, 24, 52, 5]
dense	l2	4	0	15.70	0	0.46	[27, 21, 6, 9, 10, 33, 10, 20, 46, 18]
dense	l2	5	0	10.30	0	0.48	[21, 15, 7, 9, 8, 32, 12, 40, 47, 9]
